S N,English Name,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Migration status,Occurrence status
Phasianidae,,,,,,,
1,Hill Partridge ,Arborophila torqueola ,,,,r,3
2,Common Quail ,Coturnix coturnix ,,,,r,3
3,Black Francolin ,"Francolinus
francolinus",,,,r,1
4,Grey Francolin ,"Francolinus
pondicerianus",VU ,,,r,1
5,Swamp Francolin ,Francolinus gularis ,VU ,EN ,,r,5
6,Indian Peafowl ,Pavo cristatus ,NT ,,III ,r,1
7,Red Junglefowl ,Gallus gallus ,,,,r,1
8,Kalij Pheasant ,"Lophura
leucomelanos",,,III ,r,2
Anatidae,,,,,,,
9,Lesser Whistling Duck ,"Dendrocygna
javanica",,,,r,2
10,Bar-headed Goose ,Anser indicus ,NT ,,,w,4
11,Greylag Goose ,Anser anser ,NT ,,,w,5
12,Common Goldeneye ,Bucephala clangula ,,,,w,5
13,Goosander ,Mergus merganser ,,,,w,2
14,Ruddy Shelduck ,Tadorna ferruginea ,NT ,,,w,1
15,Common Shelduck ,Tadorna tadorna ,,,,w ,5
16,African Comb Duck ,"Sarkidiornis
melanotos",EN ,,II ,r,5
17,Cotton Pygmy-goose ,"Nettapus
coromandelianus",VU ,,,r,3
18,Red-crested Pochard ,Rhodonessa rufina ,,,,w,3
19,Common Pochard ,Aythya ferina ,VU ,NT ,,w,3
20,Ferruginous Duck ,Aythya nyroca ,VU ,,,w,3
21,Tufted duck ,Aythya fuligula ,,,,w,3
22,Garganey ,Anas querquedula ,VU ,,,w,3
23,Northern Shoveler ,Anas clypeata ,,,,w,3
24,Gadwall ,Anas strepera ,,,,w,2
25,Eurasian Wigeon ,Anas penelope ,,,,w,3
26,Indian Spot-billed Duck ,Anas poecilorhyncha ,NT ,,,w,4
27,Mallard ,Anas platyrhynchos ,,,,w,2
28,Northern Pintail ,Anas acuta ,EN ,,,w,2
29,Common Teal ,Anas crecca ,,,,w,2
Podicipedidae,,,,,,,
30,Little Grebe ,Tachybaptus ruficollis ,,,,w,3
31,Great Crested Grebe ,Podiceps cristatus ,,,,w,3
Columbidae,,,,,,,
32,Common Woodpigeon ,Columba palumbus ,,,,v,
33,Oriental Turtle-dove ,"Streptopelia
orientalis",,,,r,2
34,Eurasian Collared-dove ,Streptopelia decaocto ,,,,r,1
