Family,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Migration status,Occurrence status
Phasianidae,Arborophila torqueola ,LC,LC,r,3
,Coturnix coturnix ,LC,LC,r,3
,"Francolinus
francolinus",LC,LC,r,1
,"Francolinus
pondicerianus",VU ,LC,r,1
,Francolinus gularis ,VU ,EN ,r,5
,Pavo cristatus ,NT ,LC,r,1
,Gallus gallus ,LC,LC,r,1
,"Lophura
leucomelanos",LC,LC,r,2
Anatidae,Dendrocygna javanica,LC,LC,r,2
,Anser indicus ,NT ,LC,w,4
,Anser anser ,NT ,LC,w,5
,Bucephala clangula ,LC,LC,w,5
,Mergus merganser ,LC,LC,w,2
,Tadorna ferruginea ,NT ,LC,w,1
,Tadorna tadorna ,LC,LC,w ,5
,"Sarkidiornis
melanotos",EN ,LC,r,5
,"Nettapus
coromandelianus",VU ,LC,r,3
,Rhodonessa rufina ,LC,LC,w,3
,Aythya ferina ,VU ,NT ,w,3
,Aythya nyroca ,VU ,LC,w,3
,Aythya fuligula ,LC,LC,w,3
,Anas querquedula ,VU ,LC,w,3
,Anas clypeata ,LC,LC,w,3
,Anas strepera ,LC,LC,w,2
,Anas penelope ,LC,LC,w,3
,Anas poecilorhyncha ,NT ,LC,w,4
,Anas platyrhynchos ,LC,LC,w,2
,Anas acuta ,EN ,LC,w,2
,Anas crecca ,LC,LC,w,2
Podicipedidae,Tachybaptus ruficollis ,LC,LC,w,3
,Podiceps cristatus ,LC,LC,w,3
Columbidae,Columba palumbus ,LC,LC,v,1
,"Streptopelia
orientalis",LC,LC,r,2
,Streptopelia decaocto ,LC,LC,r,1
,"Streptopelia
tranquebarica",LC,LC,r,1
,Spilopelia suratensis ,LC,LC,r,1
,Spilopelia senegalensis,LC,LC,r,3
,Chalcophaps indica ,LC,LC,r,2
,Treron bicinctus ,LC,LC,r,3
,Treron phayrei ,NT ,LC,r,2
,"Treron
phoenicopterus",LC,LC,r,2
,Treron apicauda ,NT ,LC,r,3
,Treron sphenurus ,LC,LC,r,4
Caprimulgidae,Caprimulgus jotaka ,LC,LC,r,4
,"Caprimulgus
macrurus",NT ,LC,r,2
,Caprimulgus asiaticus ,EN ,LC,r,4
,Caprimulgus affinis ,NT ,LC,r,2
Hemiprocnidae,Hemiprocne coronata ,LC,LC,r,2
Apodidae,Zoonavena sylvatica ,NT ,LC,r,2
,"Hirundapus
caudacutus",LC,LC,w,4
,"Aerodramus
brevirostris",LC,LC,w,3
,Cypsiurus balasiensis ,LC,LC,r,2
,Tachymarptis melba ,LC,LC,w,3
,Apus nipalensis ,LC,LC,r,1
Cuculidae,Centropus sinensis ,LC,LC,r,1
,Centropus bengalensis,LC,LC,r,2
,Taccocua leschenaultii,LC,LC,r,3
,Phaenicophaeus tristis,LC,LC,r,3
,Clamator jacobinus ,LC,LC,s,2
,Eudynamys scolopaceus,LC,LC,r,1
,Cacomantis sonneratii,LC,LC,r,3
,Cacomantis passerinus,LC,LC,s,3
,Surniculus lugubris ,LC,LC,s,3
,Hierococcyx nisicolor ,LC,LC,s,5
,Hierococcyx varius ,LC,LC,r,2
,Cuculus micropterus ,LC,LC,s,1
,Cuculus canorus ,LC,LC,s,2
,Cacomantis merulinus,LC,LC,s,4
,Rallus aquaticus ,CR ,LC,w,4
,Zapornia fusca ,LC,LC,r,2
,Zapornia akool ,LC,LC,r,2
,"Amaurornis
phoenicurus",LC,LC,r,1
,Gallicrex cinerea ,NT ,LC,s,3
,Porphyrio porphyrio ,LC,LC,s,2
,Gallinula chloropus ,LC,LC,s,2
,Fulica atra ,LC,LC,s,2
Gruidae,Antigone antigone ,VU ,VU ,r,4
,Anthropoides virgo ,VU ,LC,v,2
,Grus grus ,NT ,LC,v,2
Otididae,"Houbaropsis
bengalensis",CR ,CR ,r,5
,Sypheotides indicus ,EN ,CR ,s,5
Ciconiidae,Leptoptilos javanicus ,VU ,VU ,r,2
,Mycteria leucocephala,EN ,LC,r,4
,Anastomus oscitans ,VU ,LC,r,1
,Ciconia nigra ,VU ,LC,w,2
,Ciconia episcopus ,VU ,NT ,r,3
,Ciconia ciconia ,LC,LC,v,2
,Ephippiorhynchus asiaticus,CR ,LC,r,4
Threskiornithidae,"Threskiornis
melanocephalus",NT ,LC,r,2
,Pseudibis papillosa ,LC,LC,r,1
Ardeidae,Botaurus stellaris ,EN ,LC,w,5
,Ixobrychus sinensis ,CR ,LC,s,2
,Ixobrychus cinnamomeus,LC,LC,s,2
,Ixobrychus flavicollis ,EN ,LC,r,5
,Nycticorax nycticorax ,LC,LC,r,2
,Butorides striata ,LC,LC,r,2
,Ardeola grayii ,LC,LC,r,1
,Bubulcus ibis ,LC,LC,r,1
,Ardea cinerea ,LC,LC,w,2
,Ardea purpurea ,LC,LC,r,3
,Casmerodius albus ,LC,LC,r,1
,"Mesophoyx
intermedia",LC,LC,r,1
Phalacrocoracidae,Phalacrocorax niger ,LC,LC,r,1
,"Phalacrocorax
fusicollis",NT ,LC,w,1
Anhingidae,"Anhinga
melanogaster",NT ,LC,r,1
Burhinidae,Burhinus indicus ,LC,LC,r,2
,Esacus recurvirostris ,CR ,LC,r,4
Ibidorhynchidae,Ibidorhyncha struthersii,EN ,LC,w,4
Recurvirostridae,Recurvirostra avosetta,LC,LC,w,5
,Himantopus himantopus,LC,LC,w,5
Charadriidae,Pluvialis fulva ,NT ,LC,w,4
,Charadrius dubius ,LC,LC,r,1
,Charadrius alexandrinus,LC,LC,w,3
,Charadrius leschenaultii,LC,LC,v,2
,Vanellus vanellus ,NT ,LC,w,4
,Vanellus duvaucelii ,NT ,LC,r,2
,Vanellus malabaricus ,VU ,LC,r,5
,Vanellus cinereus ,LC,LC,w,4
,Vanellus indicus ,LC,LC,r,1
Rostratulidae,Rostratula benghalensis,LC,LC,r,4
Jacanidae,Hydrophasianus chirurgus,VU ,LC,s,3
,Metopidius indicus ,LC,LC,r,2
Scolopacidae,Numenius phaeopus ,LC,LC,w,5
,Numenius arquata ,CR ,LC,w,4
,Calidris temminckii ,LC,LC,w,2
,Calidris alba ,LC,LC,w,5
,Calidris minuta ,LC,LC,w,3
,Gallinago stenura ,LC,LC,r,2
,Gallinago gallinago ,LC,LC,r,2
,Lymnocryptes minimus,LC,LC,r,4
,Actitis hypoleucos ,LC,LC,w,1
,Tringa ochropus ,LC,LC,w,1
,Tringa erythropus ,LC,LC,w,3
,Tringa nebularia ,LC,LC,w,1
,Tringa totanus ,LC,LC,w,2
,Tringa glareola ,LC,LC,w,3
,Tringa stagnatilis ,LC,LC,w,5
Turnicidae,Turnix sylvaticus ,NT ,LC,r,4
,Turnix tanki ,NT ,LC,r,3
,Turnix suscitator ,LC,LC,r,3
,Cursorius coromandelicus,EN ,LC,v,2
,Glareola maldivarum ,NT ,LC,r,5
,Glareola lactea ,NT ,LC,r,1
Laridae,Rynchops albicollis ,VU ,CR ,s,5
,Larus brunnicephalus ,VU ,LC,w,3
,Larus ridibundus ,VU ,LC,w,3
,Larus ichthyaetus ,LC,LC,w,3
,Larus fuscus ,LC,LC,w,4
,Sternula albifrons ,VU ,LC,s,1
,Hydroprogne caspia ,CR ,LC,w,4
,Sterna aurantia ,CR ,LC,r,4
,Sterna acuticauda ,EN ,CR ,r,4
Tytonidae,Tyto longimembris ,CR ,LC,r,4
Strigidae,Ninox scutulata ,LC,LC,r,2
,Glaucidium brodiei ,LC,LC,r,3
,"Glaucidium
cuculoides",LC,LC,r,3
,Glaucidium radiatum ,LC,LC,r,1
,Athene brama ,LC,LC,r,1
,Otus lettia ,LC,LC,r,3
,Otus sunia ,LC,LC,r,2
,Asio flammeus ,VU ,LC,w,4
,Strix leptogrammica ,VU ,LC,r,4
,Strix ocellata ,LC,LC,r,4
,Bubo bengalensis ,VU ,LC,r,4
,Bubo nipalensis ,EN ,LC,r,4
,Bubo coromandus ,CR ,LC,r,4
,Ketupa zeylonensis ,VU ,LC,r,3
Pandionidae,Pandion haliaetus ,LC,LC,w,2
Accipitridae,Elanus caeruleus ,LC,LC,r,2
,Pernis ptilorhynchus ,LC,LC,r,2
,Aviceda leuphotes ,NT ,LC,r,3
,Spilornis cheela ,LC,LC,r,1
,Circaetus gallicus ,LC,LC,w,3
,Gypaetus barbatus ,VU ,LC,v,2
,"Neophron
percnopterus",EN ,VU ,r,3
,Sarcogyps calvus ,CR ,EN ,r,3
,Gyps himalayensis ,VU ,LC,w,2
,Gyps bengalensis ,CR ,CR ,r,2
,Gyps tenuirostris ,CR ,CR ,r,3
